id	short_content	full_content	authors	date	affiliations	url
10	Comparison of linear modularization criteria using the relational formalism, an approach to easily identify resolution limit	le modularisation de grand graphe ou recherche de communauté être aborder comme le optimisation de un critère de qualité , le un des plus utiliser être le modularité de Newman-Girvan . un autre critère , avoir un autre propriété , aboutir à un solution différent . dans ce article , cln présenter un réécriture relationnel de six critère linéaire : Zahn-Condorcet , Owsi'nski-Zadro˙zny , le Ecart à le Uniformité , le Ecart à le indétermination et le modularité Equilibrée . cln utiliser un version générique de le algorithme de optimisation de Louvain pour approcher le partition optimal pour chaque critère sur un réseau réel de différent taille . le partition obtenir présenter un caractéristique différent , concerner notamment le nombre de classe . le formalisme relationnel cln permettre de justifier ce différence de un point de vue théorique . en outre , ce notation permettre de identifier facilement le critère avoir un limite de résolution ( phénomène qui empêcher en pratique le détection de petit communauté sur un grand graphe ) . un étude de le qualité des partition trouver dans le graphe synthétique LFR permettre de confirmer ce résultat . 	Patricia Conde-Céspedes, Jean-François Marcotorchino, Emmanuel Viennet	2015	@univ-paris13.fr, @thalesgroup.com	1002080
11	Compromis précision-rappel dans l'évaluation des performances 	compromettre précision-rappeau dans le évaluation des performance  dans un nombreux problème de apprentissage automatique le performance des algorithme être évaluer à le aide des mesure précision et rappel . or ce deu mesure pouvoir avoir un importance très différent en fonction du contexte . dans ce article cln étudier le comportement des principal indice de performance en fonction du couple précision-rappeau . cln proposer un nouveau outil de visualisation de performance et définir le espace de compromis qui représenter le différent indice en fonction du compromis précision-rappeau . cln analyser le propriété de ce nouveau espace et mettre en évidence son avantage par rapport à le espace précision-rappeau . 	Blaise Hanczar, Mohamed Nadif	2015	@parisdescartes.fr	1002070
12	Contribution au calcul du skyline par réduction de l'espace candidat	contribution au calcul du skyline par réduction de le espace candidat  le opérateur skylin être devenir un paradigme dans le base de donnée . ilimp consister à localiser Sky le ensemble des point de un espace vectoriel qui ne être pas dominer . ce opérateur être utile lorsque cln ne arriver pas à clr décider dans le situation conflictuel . le calcul des requête skylin être pénaliser par le nombre de point que pouvoir contenir le base de donnée . dans ce papier , cln présenter un solution analytique pour le réduction de le espace candidat et cln proposer un méthode efficace pour le calcul de ce type de requête 	Lougmiri Zekri, Hadjer Belaicha	2015	@gmail.com	1002082
13	D113 : une plateforme open-source dédiée à l'analyse des flux et à la détection des intrusions	D113 : un plateforme open-source dédier à le analyse des flux et à le détection des intrusion  " ce travail clr situer dans le domaine de le " " Cybersécurité " " , le projet " " D113 " " permettre de visualiser en temps réel le flux transiter sur un équipement de filtrage sans avoir recours au traitement manuel des journal de événement . . cln centrer son démonstration sur le visualisation de grand " " graphe " " et le exploitation de analyse statique des flux . " 	David Pierrot, Nouria Harbi	2015	@univ-lyon2.fr	1002108
14	Découverte de proportions analogiques dans les bases de données : une première approche	découverte de proportion analogique dans le base de donnée : un premier approche  ce article présenter un nouveau cadre pour le découverte de connaissance baser sur le notion de proportion analogique qui exprimer le égalité des rapport entre le attribut de deux paire de élément . ce notion être développer dans le contexte des base de donnée pour découvrir un parallèle dans le donnée . dans un premier temps , cln donner un définition formel des proportion analogique dans le cadre des base de donnée relationnel , puis cln étudier le problème de le extraction des proportion analogique . cln montrer que ilimp être possible de suivre un approche de clustering pour découvrir le classe de équivalence de paire de n-uplet dans le même rapport de proportion analogique . ce travail constituer unCe article présenter un nouveau cadre pour le découverte de connaissance baser sur le notion de proportion analogique qui exprimer le égalité des rapport entre le attribut de deux paire de élément . ce notion être développer dans le contexte des base de donnée pour découvrir un parallèle dans le donnée . dans un premier temps , cln donner un définition formel des proportion analogique dans le cadre des base de donnée relationnel , puis cln étudier le problème de le extraction des proportion analogique . cln montrer que ilimp être possible de suivre un approche de clustering pour découvrir le classe de équivalence de paire de n-uplet dans le même rapport de proportion analogique . ce travail constituer un premier étape vers le extension des langage de interrogation de base de donnée avec un requête « analogique » . e premier étape vers le extension des langage de interrogation de base de donnée avec un requête « analogique » . 	William Correa Beltran, Hélène Jaudoin, Olivier Pivert	2015	@irisa.fr, @irisa.fr, @irisa.fr	1002075
15	Détection automatique de reformulations - Correspondance de concepts appliquée à la détection du plagiat	détection automatique de reformulation - correspondance de concept appliquer à le détection du plagiat  dans le cadre de le détection du plagiat , le phase de comparaison de deux document être souvent réduire à un comparaison mot à mot , un recherche de « copier ou coller » . dans ce article , cln proposer un approche naïf de comparaison de deux document dans le but de détecter automatiquement aussi bien le phrase copier de le un des texte dans le autre que le paraphrase et reformulation , ceci en clr focaliser sur le existence des mots porteur de sens , ainsi que sur son mots de substitution possible . cln comparer trois algorithme utiliser ce approche afin de déterminer le plus efficace pour ensuite cla évaluer face à un méthode existant . le objectif être de permettre le détection des similitude entre deux texte en utiliser uniquement un mots clef . le approche proposer permettre de détecter un reformulation non paraphrastique impossible à détecter avec un approche conventionnel faire appel à un phase de alignement . 	Jérémy Ferrero, Alain Simac-Lejeune	2015	@compilatio.net, @compilatio.net	1002089
16	Détection et regroupement automatique de style d'écriture dans un texte	détection et regroupement automatique de style de écriture dans un texte  le détection de plagiat extrinsèque devenir vite inefficace lorsque le cln ne avoir pas accès aux document potentiellement source du plagiat ou lorsque le cln clr confronter à un espace aussi vaste que leWeb , ce qui être souvent le cas dans le logiciel anti- plagiat actuel . dès lors le détection intrinsèque devenir nettement plus efficace . dans ce article , cln traiter justement de le détection automatique de auteur qui permettre de savoir si un passage de un texte ne appartenir pas au même auteur que le reste du texte et donc en théorie de repérer le passage plagier de un document . cln expliquer son contribution aux procédure déjà existant et évaluer le limite de son approche . le objectif être de permettre le détection et le regroupement de passage de un document par auteur . 	Jérémy Ferrero, Alain Simac-Lejeune	2015	@compilatio.net, @compilatio.net	1002060
17	Deux approches pour catégoriser le risque	Deux approche pour catégoriser le risque  le risque chimique ou alimentaire couvrir le situation où le produit chimique être dangereux pour le santé et consommation humain ou animal , et pour le environnement . le expert qui assurer le contrôle et le gestion de ce substance clr retrouver face à un gros volume de littérature scientifique , qui devoir être analyser pour appuyer le prise de décision . cln proposer un aide automatique pour le analyse de ce littérature . cln aborder le tâche comme un problématique de catégorisation : ilimp clr agir de catégoriser le phrase des texte dans le classe du risque lier aux substance . cln utiliser deux approche : par apprentissage superviser et le recherche de information . le résultat obtenir avec le apprentissage superviser ( tout classe confondre , F-mesure autour de 0,8 pour le risque alimentaire , entre 0,61 et 0,64 pour le risque chimique ) être meilleur que celui obtenir avec par recherche de information ( tout classe confondre , F-mesure entre 0,18 et 0,226 pour le risque alimentaire , entre 0,20 et 0,32 pour le risque chimique ) . le rappel être compétitif avec le deu approche . 	Natalia Grabar, Niña Kerry	2015	@univ-lille3.fr, @boujut.com	1002067
18	Extraction complète efficace de chemins pondérés dans un a-DAG	extraction compléter efficace de chemin pondérer dans un a-DAG  un nouveau domaine de motif appeler chemin pondérer condensé avoir être introduire en 2013 lors de le conférence IJCAI . le contexte de fouille être alors un graphe acyclique orienter ( DAG ) dont le sommet être étiqueter par un attribut . cln avoir travailler à un implémentation efficace de ce type de motif et cln montrer que le algorithme proposer être juste mais incomplet . cln établir ce résultat de incomplétude et cln le expliquon avant de trouver un solution pour réaliser un extraction complet . cln avoir ensuite développer un structure complémentaire pour calculer efficacement tout le chemin pondérer condensé . le algorithme être améliorer en performance de plusieurs ordre de magnitude sur un jeu de donnée artificiel et cln cla appliquer à un donnée réel pour motiver qualitativement le usage des chemin pondérer . 	Nazha Selmaoui-Folcher, Frédéric Flouvat, Chengcheng Mu, Jérémy Sanhes, Jean-François Boulicaut	2015	@univ-nc.nc, @insa-lyon.fr	1002077
19	Extraction de l'intérêt implicite des utilisateurs dans les attributs des items pour améliorer les systèmes de recommandations	extraction de le intérêt implicite des utilisateur dans le attribut des item pour améliorer le système de recommandation  le système de recommandation avoir pour objectif de sélectionner et présenter de abord le information susceptible de intéresser le utilisateur . ce travail exposer un système de recommandation qui clr appuyer sur deux concept : un relation sémantique sur le donnée et un technique de filtrage collaboratif distribuer baser sur le factorisation des matrice ( MF ) . de un part , le technique sémantique pouvoir extraire un relation entre le donnée , et par conséquent , améliorer le précision des recommandation . de autre part , MF donner un prévision très précis avec un algorithme facilement parralélisable . son proposition utiliser ce technique en ajouter un relation sémantique au processus . en effet , cln analyser en profondeur le intérêt cacher des utilisateur dans le attribut des item à recommander . cln utiliser dans son expérimentation le jeu de donnée MovieLens enrichir par le base de donnée IMDb . cln comparer son travail à un technique MF classique . le résultat montrer un précision dans le recommandation , tout en préserver un niveau élevé de abstraction du domaine . en outre , cln améliorer le passage à le échelle du système en utiliser un technique parallélisable . 	Manuel Pozo, Raja Chiky, Elisabeth Métais	2015	@isep.fr, @cnam.fr	1002093
20	Feedback - Study and Improvement of the Random Forest of the Mahout library in the context of marketing data of Orange	le apprentissage automatique avoir faire son apparition dans le écosystème Hadoop créer , de par le puissance promettre , un opportunité sans précédent pour ce domaine . dans ce écosystème , Apache Mahout être un réponse à le question du temps de calcul et-ou de le volumétrie : ilimp consister en un entrepôt de algorithme de apprentissage automatique , tout porter afin de clr exécuter sur Map ou Reduce . ce rapport clr concentrer sur le portage et le utilisation de le algorithme des Random Forest dans Mahout . ilimp montrer à travers son retour de expérience le difficulté qui pouvoir être rencontrer tant pratique que théorique et suggérer un piste de amélioration . 	C. Thao, Nicolas Voisine, Vincent Lemaire, R. Trinquart	2015		1002104
21	gapIT : Un outil visuel pour l'imputation de valeurs manquantes en hydrologie	gapIT : un outil visuel pour le imputation de valeur manquant en hydrologie  le donnée manquant être problématique en hydrologie , car cln gêner le calcul de statistique interannuel et sur un long période , ainsi que le analyse et le interprétation de le variabilité des donnée . dans ce article , cln présenter gapIT , un plateforme de analyse de donnée permettre de inspecter visuellement le donnée manquant et ensuite de choisir le méthode de correction adéquat . cln avoir utiliser le outil pour estimer le donnée manquant dans un série temporel correspondre aux débit mesurer par un station hydrométrique du Luxembourg . 	Olivier Parisot, Laura Giustarini, Olivier Faber, Renaud Hostache, Ivonne Trebs, Mohammad Ghoniem	2015	@lippmann.lu	1002107
22	Heuristiques pour l'adaptation des mappings entre ontologies dynamiques	heuristique pour le adaptation des mapping entre ontologie dynamique  le correspondance sémantique entre ontologie ( mapping ) jouer un rôle essentiel dans le système de information . cependant , en vertu de le évolution des connaissance , le élément ontologique être sujet à modification invalider potentiellement le alignement préalablement établir . un technique de maintenance être donc nécessaire pour maintenir le validité des mapping . dans ce article , cln présenter un ensemble de heuristique guider son adaptation . son approche clr appuyer sur le explication des mapping existant , le information provenir de le évolution des ontologie ainsi que le adaptation possible applicable aux mapping . cln proposer un validation expérimental à partir de ontologie du domaine médical et des mapping qui cld être associer . 	Julio Cesar Dos Reis, Cédric Pruski, Chantal Reynaud-Delaître	2015	@tudor.lu, @lri.fr	1002084
23	Identification des utilisateurs atypiques dans les systèmes de recommandation sociale	identification des utilisateur atypique dans le système de recommandation social  malgré un performance très satisfaisant , le approche social de le recommandation ne fournir pas un bon recommandation à un sous-ensemble des utilisateur . cln supposer ici que certains de ce utilisateur avoir un préférence différent de celui des autre , cln cla qualifier de atypique . cln cln intéresser à son identification , en amont de le tâche de recommandation , et proposer plusieurs mesure représenter le atypicité des préférence de un utilisateur . le évaluation de ce mesure sur un corpus de le état de le art montrer que cln permettre de identifier de façon fiable des utilisateur recevoir un mauvais recommandation . 	Benjamin Gras, Armelle Brun, Anne Boyer	2015	@loria.fr	1002097
24	Identification d'auteurs par apprentissage automatique	identification de auteur par apprentissage automatique  Etant donner un ensemble de document rédiger par un même auteur , le problème de authentification de auteur consister à décider si un nouveau texte avoir être rédiger ou non par ce auteur . pour résoudre ce problème , cln avoir proposer et implémenter différent approche : comptage de similarité , technique de vote et apprentissage superviser qui exploiter différent modèle de représentation des document . le expérimentation réaliser à partir un collection de le compétition PAN-CLEF 2013 et 2014 avoir confirmer le intérêt de son approche et son performance en terme de temps de traitement . 	Jordan Frery, Christine Largeron, Mihaela Juganaru-Mathieu	2015	@univ-st-etienne.fr, @emse.fr	1002062
25	Linked Data Annotation and Fusion driven by Data Quality Evaluation	dans ce article cln présenter un approche de fusion de donnée fonder sur le utilisation de information sur le qualité des donnée pour résoudre le éventuel conflit entre valeur . 	Ioanna Giannopoulou, Fatiha Saïs, Rallou Thomopoulos	2015		1002086
26	L'apport d'une approche symbolique pour le repérage des entités nommées en langue amazighe	le apport de un approche symbolique pour le repérage des entité nommer en langue amazigh  le repérage des entité Nommées ( REN ) en langue amazigh être un prétraitement éventuellement essentiel pour un nombreux application du traitement automatique des langue ( TAL ) , en particulier pour le traduction automatique . dans ce article , cln présenter un chaîne de repérage des entité nommer en amazighe fonder sur un étude synthétique des spécificité de le langue et des entité nommer en amazighe . le article mettre le accent sur le choix méthodologique à résoudre le ambiguïté devoir à le langue , en exploiter le technologie existant pour un autre langue . 	Meryem Talha, Siham Boulaknadel, Driss Aboutajdine	2015	@gmail.com, @fsr.ac.ma, @ircam.ma	1002061
27	Méthode alternative à la détection de « copier/coller » : intersection de textes et construction de séquences maximales communes 	méthode alternatif à le détection de « copier ou coller » : intersection de texte et construction de séquence maximal commun  le détection du plagiat passer le plus souvent par le phase de recherche de similitude le plus naïf , le détection de « copier ou coller » . dans ce article , cln proposer un méthode alternatif à le approche standard de comparaison mot à mot . le principe être de effectuer un intersection des deu texte à comparer , récupérer ainsi un tableau des mots que cln avoir en commun et de ne conserver que le séquence maximal des mots clr suivre dans le un des texte et existant également dans le autre . cln montrer que ce méthode être plus rapide et moins coûteux en ressource que le méthode de parcours de texte habituellement utiliser . le objectif être de détecter le passage identique entre deux texte plus rapidement que le méthode de comparaison mot à mot , tout en être plus efficace que le méthode n-gramme . 	Jérémy Ferrero, Alain Simac-Lejeune	2015	@compilatio.net, @compilatio.net	1002065
28	Pour une meilleure exploitation de la classification croisée dans les systèmes de filtrage collaboratif	pour un meilleur exploitation de le classification croisé dans le système de filtrage collaboratif  pour le prédiction automatique des item préférer par un utilisateur sur le Web , différent système de filtrage collaboratif avoir être proposer . le plupart de entre lui être baser sur le factorisation matriciel et le approche de type k plus proche voisins . malheureusement ce deu approche requérir un temps de calcul important . un partie de ce problème avoir pouvoir être surmonter par le classification croisé ou co- clustering qui clr avérer pertinent du fait que cln permettre par nature un gestion simultané des ensemble correspondre aux utilisateur et aux item . cependant , un travaux devoir encore être mener pour un meilleur prise en compte des donnée manquant . dans ce travail , cln proposer donc un gestion efficace des donnée non observer permettre un meilleur exploitation du potentiel de le classification croisé dans le domaine des système de recommandation . cln montrer de plus que cln permettre de obtenir un représentation à base de graphe biparti faciliter le interprétation interactif des affinité entre un groupe de utilisateur et des groupe de item . 	Aghiles Salah, Nicoleta Rogovschi, François Role, Mohamed Nadif	2015	@parisdescartes.fr	1002095
29	Proposition d'outil de clustering visuel et interactif	proposition de outil de clustering visuel et interactif  ce article présent un nouveau outil visuel de clustering interactif . ilimp utiliser un technique de réduction de dimensionnalité pour permettre un représentation 2D des donnée et des classe associer , initialement établir de manière non- supervisé . le originalité de le outil consister à autoriser un modification itératif à le fois du clustering et de le projection 2Darles Grâce à un contrôle adapté , le utilisateur pouvoir ainsi injecter son préférence , et observer le changement induire en temps réel . le méthode de projection utiliser suivre un métaphore physique , qui faciliter le suivi des changement par le utilisateur . cln montrer un exemple illustrer le intérêt pratique de le outil . 	Pierrick Bruneau, Philippe Pinheiro, Bertjan Broeksema, Benoît Otjacques	2015	@lippmann.lu	1002073
30	Qualité et complexité en évaluation des mesures d'intérêt	qualité et complexité en évaluation des mesure de intérêt  remplacer un hypothèse sur le modèle de donnée par un information mesurer sur le donnée réel être le un des force de le fouille de donnée . ce article étudier ce ajustement entre le donnée et le méthode de découverte de motif pour cll évaluer le qualité et le complexité . cln formaliser ce lien entre donnée et mesure de intérêt en identifier le motif lier qui être celui nécessaire pour le évaluation de un mesure ou de un contrainte . cln formuler alors trois axiome que devoir satisfaire ce motif lier pour que un méthode de extraction clr comporter bien . en outre , cln définir le complexité en évaluation qui quantifier finement le interrelation entre le motif au sein de un méthode de extraction . A le lumière de ce axiome et de ce complexité en évaluation , cln dresser un typologie de multiple méthode de découverte de motif impliquer le fréquence . 	Bruno Crémilleux, Arnaud Giacometti, Arnaud Soulet	2015	@unicaen.fr, @univ-tours.fr	1002094
31	RankMerging: Apprentissage supervisé de classements pour la prédiction de liens dans les grands réseaux sociaux	RankMerging : apprentissage superviser de classement pour le prédiction de lien dans le grand réseau social  trouver le lien manquant dans un grand réseau social être un tâche difficile , car ce réseau être peu dense , et le lien pouvoir correspondre à un environnement structurel varié . dans ce article , cln décrire RankMerging , un méthode de apprentissage superviser simple pour combiner le information obtenir par différent méthode de classement . afin de illustrer son intérêt , cln cla appliquer à un réseau de utilisateur de téléphone portable , pour montrer comment un opérateur pouvoir détecter un lien entre le client de son concurrent . cln montrer que RankMerging surpasser le méthode à disposition pour prédire un nombre variable de lien dans un grand graphe épars . 	Lionel Tabourier, Anne-Sophie Libert, Renaud Lambiotte	2015		1002102
32	Réduction de la complexité spatiale et temporelle du Compact Prediction Tree pour la prédiction de séquences	réduction de le complexité spatial et temporel du Compact Prediction Tree pour le prédiction de séquence  le prédiction de séquence de symbole être un tâche avoir de multiple application . plusieurs modèle de prédiction avoir être proposer tel que DG , All-k-order markov et PPM . récemment , ilimp avoir être montrer que un nouveau modèle nommer Compact Prediction Tree ( CPT ) utiliser un structure en arbre et un algorithme de prédiction plus complexe , offre des prédiction plus exact que plusieurs approche de le littérature . néanmoins , un limite important de CPT être son complexité temporel et spatial élevé . dans ce article , cln pallier ce problème en proposer trois stratégie pour réduire le taille et le temps de prédiction de CPT . le résultat expérimental sur 7 jeu de donnée réel montrer que le modèle résulter nommer CPT + être jusque à 98 fois plus compact et être 4.5 fois plus rapide que CPT , tout en conserver un exactitude très élever par rapport à All-K-order Markov , DG , Lz78 , PPM et TDAG . 	Ted Gueniche, Philippe Fournier-Viger	2015	@gmail.com, @umoncton.ca	1002064
33	Regroupement d'attributs par règles d'association dans les systèmes d'inférence floue	regroupement de attribut par règle de association dans le système de inférence flou  dans le système de apprentissage superviser par construction de règle de classification flou , un nombre élevé de attribut descriptif conduire à un explosion du nombre de règle générer et pouvoir affecter le précision des algorithme de apprentissage . afin de remédier à ce problème , un solution être de traiter séparément un sous-groupe de attribut . cela permettre de décomposer le problème de apprentissage en un sous-problème de complexité inférieur , et de obtenir un règle plus intelligible car de taille réduit . cln proposer un nouveau méthode de regroupement des attribut qui clr baser sur le concept des règle de association . ce règle découvrir un relation intéressant entre un intervalle de valeur des attribut . ce liaison local être ensuite agréger au niveau des attribut même en fonction du nombre de liaison trouver et de son importance . son approche , tester sur différent base de apprentissage et comparer à le approche classique , permettre de améliorer le précision tout en garantir un réduction du nombre de règle . 	Ilef Ben Slima, Amel Borgi	2015	@fst.rnu.tn, @insat.rnu.tn	1002092
